International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000000000000000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=40-A&vs=INTL.4008-8-AFG-MMTCD.A&ord=CR&vo=0&v=H&end=2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Apr 22 2019 19:31:02 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,0.0981,0.1,0.09812,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.2,0.2,0.26497051353854,0.23381004685551,0.28366474224878,0.23925843324573,0.1983941841147,0.21706145482886
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,0.04096,0.04094,0.04094,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.5,1.9,2.1,2.1,2.2005496719076,2.5001298065905,2.7000540860794,3.0000679812848,3.4000012587306,3.6004343751372,3.9008674915438,4.2488871267702,4.2283320802908,4.031468264356,4.0334350308783,5.0474283948623,5.2991477788287,5.4745424959018,6.4113335311473,8.4594830212146,9.649779580998
,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,2.22945,2.3,2.7,7.236408096,7.133307912,6.5662569,9.340661316,8.006559292,3.47325138,6.499205888,3.4,8.05135762268,8.15135762268,6.7686714677764,7.61475705736,7.50547086232,6.7684174028886,6.8684174028886,6.8684174028886,6.9684174028886,6.849958423011,6.4222699531946,6.1491962283476,6.1489421634598,6.494835548266,6.7314994431334,3.839235198079,7.8709887061002,7.6709887061002,8.3709887061002,8.6337314032485,9.0669177348575,7.2880795313555,6.517388958685,8.6017661841123,9.6966695657182,7.1112206068892
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
