International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000001vm&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvvuvg&ct=0&ug=8&tl_id=2-A&vs=INTL.29-12-AFG-BKWH.A&cy=2016&vo=0&v=B&end=2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Apr 30 2019 15:44:00 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Czech Republic,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,1.64185,1.86585,2.40585,2.337,2.21001,1.98,2.496,2.4634,2.746,3.158,1.87,2.729,3.115,3.502,3.397,3.711,4.63,5.995,7.366,8.157,9.392,9.291,9.533,9.495
,Denmark,Billion Kwh,0.03,0.031,0.028,0.06,0.067,0.087,0.165,0.212,0.334,0.471,0.867,1.122,1.466,1.791,1.974,2.12,2.421,3.313,4.31673,4.862,6.128,6.438,7.412,8.746,10.173,10.628,10.025,11.1,10.951,10.855,13.176,14.959,15.567,16.683,18.715,19.719,19.168
,Djibouti,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.0005,0.0005,0.0005
,Dominica,Billion Kwh,0.009,0.01,0.009,0.015,0.016,0.014,0.013,0.014,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.019,0.019,0.02,0.027,0.032,0.032,0.027,0.03,0.029,0.034,0.0272,0.0272,0.0213,0.0203,0.0239,0.0239,0.0359,0.0274,0.0374,0.0314,0.0244,0.0364
,Dominican Republic,Billion Kwh,0.646,0.883,0.831,0.863,0.639,1.074,0.94,0.99,0.87,0.623,0.417,0.578,0.555,1.153,0.573,0.639,0.894,0.706,0.758,1.125,0.792,0.734,0.91,1.238,1.67,1.913,1.779,1.739,1.413,1.4925,1.4645,1.593,2.061,2.56,2.051,1.866,2.647
,Ecuador,Billion Kwh,0.878,0.783,0.89,1.712,3.163,3.761,4.27,4.486,4.741,4.867,4.937,5.025,4.924,5.752,6.499,5.109,6.281,6.469,6.441,7.105,7.533,7,7.45,7.108617,7.337582,6.86404,7.73704,9.89704,11.39204,9.35004,8.78904,11.30304,12.414,11.289,11.838,13.509,16.288
,Egypt,Billion Kwh,9.699,10.109,10.365,10.09405,9.90005,8.01905,7.9201,8.1681,7.8211,7.9201,9.8751,8.5451,8.4551,10.3821,10.6401,11.3092,11.4492,11.8772,12.1102,15.1582,13.6972,15.2002,12.9342,13.2572,13.0412,13.0702,13.4122,16.1862,15.4662,13.8672,14.622,14.548,14.487,14.79,15.368,15.526,15.553
,El Salvador,Billion Kwh,1.543,1.541,1.662,1.478,1.712,1.595,1.612,1.563,1.728,1.867,1.866,1.278,1.393,1.551,1.601,1.905,2.314,1.922,2.024,2.37,1.969,2.137,2.143,2.518,2.446,2.804,3.24,3.261,3.726,3.256,3.887,3.823,3.752,3.786,3.71,3.459,3.475
,Equatorial Guinea,Billion Kwh,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.005,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.039,0.039,0.065,0.13,0.13,0.13,0.13
,Eritrea,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.022
,Estonia,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.001,0.003,0.008,0.007,0.011,0.017,0.017,0.019,0.019,0.03,0.049,0.06,0.111,0.13,0.145,0.197,0.5411,1.0441,1.1792,1.4773,1.281,1.465,1.636,1.653
,Ethiopia,Billion Kwh,0.473,0.502,0.574,0.623,0.683,0.747,0.821,0.886,0.956,0.994,1.088,1.097,1.127,1.251,1.34,1.414,1.495,1.55,1.589,1.609,1.635,1.9721,2.003,2.257,2.496,2.805,3.226,3.351,3.2771,3.5134,4.9004,6.2378,7.5081,8.6171,9.4391,10.3551,11.1431
,Falkland Islands (Islas Malvinas),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.00025,0.00025,0.00025,0.0003,0.0003,0.002,0.002,0.005,0.006,0.007,0.007,0.007,0.009,0.009
,Faroe Islands,Billion Kwh,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.062,0.071,0.074,0.074,0.083,0.073423,0.075605,0.07557,0.070144,0.075616,0.077047,0.070015,0.075785,0.075699,0.096088,0.087823,0.100952,0.108318,0.114912,0.119166,0.10789,0.106487,0.08076,0.107,0.11,0.111,0.156,0.189,0.158
,Fiji,Billion Kwh,0,0,0,0.049,0.285,0.291,0.349,0.366,0.347,0.347,0.401,0.401,0.406,0.406,0.426,0.445,0.446,0.45002,0.438022,0.46995,0.4341,0.4831,0.4701,0.3641,0.3871,0.3591,0.3611,0.5381,0.5151,0.4801,0.4203,0.4611,0.534,0.534,0.408,0.416,0.504
,Finland,Billion Kwh,10.115,13.518,12.958,13.445,13.115,12.211,12.266,13.658,13.229,12.9,15.906,18.065,19.909,19.304,18.142,19.416,17.897,20.31858,24.616,21.398,23.296,21.526,19.836,19.134,25.666,23.495,22.481,24.363,27.868,21.863,24.28,24.318,28.634,25.823,26.512,30.745,30.681
,Former Czechoslovakia,Billion Kwh,4.8,4.2,3.7,3.9,3.2,4.3,4,4.853,4.355,4.229,3.919,3.119,3.602,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Former Serbia and Montenegro,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,11.23,10.395,11.016,12.071,14.266,12.636,12.763,13.243,11.88,12.326,11.633,9.752,11.01,11.912,--,--,--,--,--,--,--,--,--,--,--
,Former U.S.S.R.,Billion Kwh,184.025,184.993,175.46,180.186,203.155,205.046,213.477,217.466,228.512,221.024,230.697,232.679,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Former Yugoslavia,Billion Kwh,27.868,25.044,23.295,21.623,25.645,24.363,27.474,25.98,25.612,23.256,19.601,18.929,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,France,Billion Kwh,69.375,71.586,70.244,68.771,65.465,61.57,62.356,70.041,75.34,47.783,54.999,58.674,70.75,66.598,80.551,74.963,67.384,66.451,64.793,75.611,70.682,78.884,65.381,64.375,65.426,57.435,63.351,67.411,75.293,71.362,79.544,66.555,85.273,98.969,93.857,91.692,99.491
,French Guiana,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.549,0.571,0.593,0.616,0.639,0.663,0.689,0.71,0.74,0.687,0.608,0.534,0.552,0.544,0.494
,French Polynesia,Billion Kwh,0,0,0,0.016,0.024,0.032,0.035,0.035,0.058,0.064,0.069,0.074,0.09,0.094,0.096,0.125,0.133,0.133,0.151,0.087,0.116,0.105,0.131,0.154,0.178,0.179,0.2,0.223,0.212,0.211,0.2773,0.2303,0.2263,0.2333,0.1983,0.2043,0.2273
